SZEZON	HELYSZÕN ARANY…RMES GY’ZTES_EDZ’K
1955-56;P¡ÅRIZS;REAL MADRID;JOS… VILLALONGA
1956-57;MADRID;REAL MADRID;JOS… VILLALONGA
1957-58;BR‹SSZEL;REAL MADRID;LUIS A. CARNIGLIA
1958-59;STUTTGART;REAL MADRID;LUIS A. CARNIGLIA
1959-60;GLASGOW;REAL MADRID;MIGUEL MUNOZ 
1960-61;BERN;BENFICA;GUTTMANN B…LA
1961-62;AMSZTERDAM;BENFICA;GUTTMANN B…LA
1962-63;LONDON;AC MILAN;NEREO ROCCO
1963-64;B…CS;INTERNAZIONALE;HELENIO HERRERA
1964-65;MILAN”;INTERNAZIONALE;HELENIO HERRERA
1965-66;BR‹SSZEL;REAL MADRID;MIGUEL MUNOZ
1966-67;LISSZABON;CELTIC GLASG.;JOCK STEIN
1967-68;LONDON;MANCHESTER U.;MATT BUSBY
1968-69;MADRID;AC MILAN;NEREO ROCCO
1969-70;MILAN”;FEYENOORD;ERNST HAPPEL
1970-71;LONDON;AJAX AMSTER.;RINUS MICHELS
1971-72;ROTTERDAM;AJAX AMSTER.;KOV¡ÅCS ISTV¡ÅN
1972-73;BELGR¡ÅD;AJAX AMSTER.;KOV¡ÅCS ISTV¡ÅN
1973-74;BR‹SSZEL;BAYERN M‹NCH.;UDO LATTEK
1974-75;P¡ÅRIZS;BAYERN M‹NCH.;DETTMAR CRAMER
1975-76;GLASGOW;BAYERN M‹NCH.;DETTMAR CRAMER
1976-77;R”MA;LIVERPOOL;BOB PAISLEY
1977-78;LONDON;LIVERPOOL;BOB PAISLEY
1978-79;M‹NCHEN;NOTTINGHAM;BRIAN CLOUGH
1979-80;MADRID;NOTTINGHAM;BRIAN CLOUGH
1980-81;P¡ÅRIZS;LIVERPOOL;BOB PAISLEY
1981-82;ROTTERDAM;ASTON VILLA;TONY BARTON
1982-83;ATH…N;HAMBURG;ERNST HAPPEL
1983-84;R”MA;LIVERPOOL;JOE FAGAN
1984-85;BR‹SSZEL;JUVENTUS;G. TRAPATTONI
1985-86;SEVILLA;STEAUA BUKAR.;JENEI IMRE
1986-87;B…CS;FC PORTO;ARTUR JORGE
1987-88;STUTTGART;PSV EINDHOVEN;GUUS HIDDINK
1988-89;BARCELONA;AC MILAN;ARRIGO SACCHI
1989-90;B…CS;AC MILAN;ARRIGO SACCHI
1990-91;BARI;CRVENA ZVEZDA;L. PETROVIC
1991-92;LONDON;BARCELONA;JOHAN CRUYFF
1992-93;M‹NCHEN;MARSEILLE;R. GOETHALS
1993-94;ATH…N;AC MILAN;FABIO CAPELLO
1994-95;B…CS;AJAX AMSTER.;LOUIS VAN GAAL
1995-96;R”MA;JUVENTUS;MARCELLO LIPPI
1996-97;M‹NCHEN;DORTMUND;O. HITZFELD
1997-98;AMSZTERDAM;REAL MADRID;JUPP HEYNCKES;
1998-99;BARCELONA;MANCHESTER U.;ALEX FERGUSON
1999-00;P¡ÅRIZS;REAL MADRID;V. DEL BOSQUE
2000-2001;MILAN”;BAYERN M‹NCH.;O. HITZFELD
2001-2002;GLASGOW;REAL MADRID;V. DEL BOSQUE
2002-2003;MANCHESTER;AC MILAN;CARLO ANCELOTTI
2003-2004;GELSENKIRCH.;FC PORTO;JOS… MOURINHO
2004-2005;ISZTAMBUL;LIVERPOOL;RAFAEL BENÕTEZ
2005-2006;P¡ÅRIZS;BARCELONA;FRANK RIJKAARD
2006-2007;ATH…N; AC MILAN;C. ANCELOTTI
2007-2008;MOSZKVA;MANCHESTER U.;ALEX FERGUSON
2008-2009;R”MA;BARCELONA;J. GUARDIOLA
2009-2010;MADRID;INTERNAZIONALE;JOS… MOURINHO
2010-2011;LONDON;BARCELONA;J. GUARDIOLA
2011-2012;M‹NCHEN;CHELSEA;ROB. DI MATTEO
2012-13;LONDON;BAYERN M‹NCH.;JUPP HEYNCKES
2013-14;LISSZABON;REAL MADRID;CARLO ANCELOTTI
2014-15;BERLIN;BARCELONA;LUIS ENRIQUE
2015-16;MILAN”;REAL MADRID;ZINEDINE ZIDANE
2016-17;CARDIFF;REAL MADRID;ZINEDINE ZIDANE
2017-18;KIEV;REAL MADRID;ZINEDINE ZIDANE
2018-19;MADRID;LIVERPOOL;J‹RGEN KLOPP
2019-20;LISSZABON;BAYERN M‹NCH.;HANSI FLICK
2020-21;PORTO;CHELSEA;THOMAS TUCHEL
